,precision,recall,f1-score,support
0,0.9931224209078404,0.989041095890411,0.9910775566231984,730.0
1,0.908315565031983,0.9638009049773756,0.9352360043907794,442.0
2,0.6538461538461539,0.7083333333333334,0.68,24.0
3,0.5769230769230769,0.3125,0.40540540540540543,48.0
4,0.5,0.16666666666666666,0.25,6.0
accuracy,0.9448,0.9448,0.9448,0.9448
macro avg,0.7264414433418109,0.6280684001735574,0.6523437932838767,1250.0
weighted avg,0.9382715699131801,0.9448,0.939312311788095,1250.0
