,precision,recall,f1-score,support
0,0.9931412894375857,0.9917808219178083,0.9924605894448252,730.0
1,0.9254385964912281,0.9547511312217195,0.9398663697104677,442.0
2,0.5277777777777778,0.7916666666666666,0.6333333333333333,24.0
3,0.6071428571428571,0.3541666666666667,0.4473684210526316,48.0
4,0.0,0.0,0.0,6.0
accuracy,0.9456,0.9456,0.9456,0.9456
macro avg,0.6107001041698897,0.6184730572945722,0.6026057427082515,1250.0
weighted avg,0.9406772197984674,0.9456,0.9412726799338202,1250.0
